"video_cats","video_intense","video_num","Subject","Anxiety","ExpectedFear","how_aroused","how_distant_present","how_fearful","how_pleasant"
"Heights","High","3","R_1PcadSYfGf2PSUz",64,72,9,5,10,51
"Heights","High","3","R_1pXAJSjLxGuFnzr",80,92,51,50,50,50
"Heights","High","3","R_214D9q0Wz9CWOHY",88,100,51,51,51,51
"Heights","High","3","R_21oBrz58HPW2sJC",23,70,50,22,22,51
"Heights","High","3","R_22Pa4rdW2nUEzTP",0,10,0,0,0,0
"Heights","High","3","R_22Sqf4FjWJpyFvk",4,51,0,51,0,51
"Heights","High","3","R_24jBqyC3zOdJKHk",70,80,42,29,95,19
"Heights","High","3","R_27dPJ0iZtEvdYD4",10,10,0,0,0,50
"Heights","High","3","R_27QiJuaHb7aXJQ9",1,1,0,0,0,50
"Heights","High","3","R_28D2wkAUezhavew",11,59,0,0,0,50
"Heights","High","3","R_2BsbF9JRjRAUCrG",0,10,0,50,0,50
"Heights","High","3","R_2Bu4QGABXAR2XFn",23,20,7,51,14,50
"Heights","High","3","R_2bZUOiUOmzc5qJJ",25,20,0,50,0,51
"Heights","High","3","R_2cingKcm9OAuqlq",57,77,72,70,62,80
"Heights","High","3","R_2dmva03gx1Dfg5o",17,35,9,51,5,51
"Heights","High","3","R_2dQROrRA3MLkRKa",90,90,100,100,100,0
"Heights","High","3","R_2eUtv3tn0HBYOmQ",0,0,0,0,0,0
"Heights","High","3","R_2eVBKiWn6Yoa3R4",2,1,82,31,3,98
"Heights","High","3","R_2fJcBcUeDAkveeM",0,16,16,21,0,33
"Heights","High","3","R_2frkDhV2x6aNvWz",47,48,48,51,54,53
"Heights","High","3","R_2tsOekW5EXwGsGp",34,66,97,100,95,0
"Heights","High","3","R_2VQGraBOdDfD6kP",9,15,41,27,6,51
"Heights","High","3","R_2WMF35rtU0uBexM",72,71,62,32,76,89
"Heights","High","3","R_2YEvsxnrHnaedVc",48,45,0,0,0,0
"Heights","High","3","R_2ylbwil58S9Dg3g",0,0,78,82,67,0
"Heights","High","3","R_31dr2XpqS952AKV",0,0,0,51,0,51
"Heights","High","3","R_337PEDW01nxmrXn",87,89,82,79,81,85
"Heights","High","3","R_3eh7lS2Gn0YIGX8",62,65,54,47,54,46
"Heights","High","3","R_3EuNzDW57avhFal",30,28,0,0,0,0
"Heights","High","3","R_3EvhOmMQGHjxisJ",1,3,0,95,0,50
"Heights","High","3","R_3fld7tjf93fYznF",57,89,10,30,60,31
"Heights","High","3","R_3hauTph43RzeqC1",13,9,0,0,0,0
"Heights","High","3","R_3hllAS7v9Mr6KHa",66,76,51,51,51,51
"Heights","High","3","R_3hmCJ8nN5viaaPy",2,39,78,83,58,4
"Heights","High","3","R_3htesdLPiYClCA5",3,0,0,67,0,51
"Heights","High","3","R_3Huhrq1djTT4KdF",46,54,83,92,58,12
"Heights","High","3","R_3ixIFx3YVFn2phw",24,15,49,68,7,60
"Heights","High","3","R_3j3egpbCQ8AOaFH",50,60,0,0,0,50
"Heights","High","3","R_3JK8mhcVAhH1cYN",0,0,67,98,15,41
"Heights","High","3","R_3JzngGW2vsHAk6Y",20,24,0,100,0,100
"Heights","High","3","R_3KryTuJmKTxXjim",3,14,51,52,2,52
"Heights","High","3","R_3lxMuyrbG1ewg89",50,82,91,100,92,0
