,video_num,Arousal,Fear,Valence,semArousal,semFear,semValence,stdArousal,stdFear,stdValence
0,57.0,3.446500000000002,1.7239999999999998,5.5710000000000015,0.22566025681882418,0.18740389831998588,0.15611905970771198,3.1913179568177688,2.6502913464571254,2.207856915835813
0,58.0,4.4185000000000025,2.0455000000000014,5.722000000000003,0.22166237795123228,0.20037627606593122,0.17460243426210087,3.1347794116650363,2.8337484719025534,2.469251305568198
0,59.0,3.7115000000000014,1.7775000000000007,5.781999999999998,0.22359126552730213,0.1931222404301062,0.1562399906341741,3.1620580013687456,2.731160916121339,2.2095671373989436
0,60.0,3.6090000000000004,1.8505,5.597500000000002,0.2275687427203407,0.19676401893061812,0.16181979787691192,3.2183080232729937,2.782663441587166,2.2884775281800183
0,61.0,5.832000000000001,4.033999999999998,3.7750000000000017,0.22587936478834436,0.24489813285810674,0.19693091153904196,3.1944166114389634,3.4633826088778266,2.785023659490094
0,62.0,5.898999999999998,4.087,3.4450000000000007,0.2274161063494309,0.24512360741995623,0.19247887047125312,3.2161494190144735,3.4665713007112036,2.722062290907004
0,63.0,5.526500000000001,3.7300000000000013,3.6399999999999992,0.22293437921771045,0.23736831842721726,0.19103131896136982,3.152768226089128,3.356894951974661,2.701590821131898
0,64.0,6.863999999999999,4.945,2.5425000000000013,0.21659892769214467,0.2539504462404598,0.19707208269791662,3.0631714113770037,3.591401652439578,2.7870201211650585
0,65.0,5.411999999999998,3.9204999999999988,3.6665000000000028,0.23094035428261753,0.24543602621625077,0.18609350529657892,3.265989811257252,3.4709895696998037,2.6317595905997133
0,66.0,5.898499999999999,3.987499999999999,3.215,0.21934287138206846,0.24819340964853367,0.1978283480100411,3.1019766351837865,3.509984860165777,2.797715327776646
0,67.0,3.9319999999999977,2.5525000000000007,4.774000000000002,0.22450812790963146,0.2116707140962824,0.17524174257781305,3.175024393527944,2.9934759463216047,2.478292490474379
0,68.0,5.235999999999999,3.6970000000000023,3.8155000000000006,0.22276138167516638,0.24113520259316812,0.18790179395326237,3.1503216713798974,3.4101667387284227,2.6573326540293847
0,69.0,4.2360000000000015,3.194,4.084500000000001,0.2240782795740909,0.2311003175764145,0.18006572990279726,3.1689454200690945,3.2682520338529475,2.546513973471465
0,70.0,6.641499999999997,4.608500000000002,2.394499999999999,0.2188150793357801,0.2421146137285078,0.18881566547201065,3.09451252848405,3.424017703835789,2.670256748990188
0,71.0,4.778500000000001,3.053500000000001,4.669000000000001,0.2280261352163575,0.23300729764058647,0.19313648934778724,3.2247765299849402,3.2952208045522187,2.7313624262476752
0,72.0,4.381,3.033499999999999,4.102499999999999,0.22347685455682664,0.22414245010639652,0.1691115380793332,3.1604399859074386,3.1698529284400077,2.3915983070556717
